"","C","D","R"
"1",0,0,0
"2",1,0,0
"3",0,0,0
"4",1,0,0
"5",1,0,0
"6",0,0,0
"7",0,0,0
"8",0,0,0
"9",7,0,0
"10",1,0,0
"11",3,0,0
"12",0,0,0
"13",1,0,0
"14",3,0,0
"15",4,0,0
"16",1,0,1
"17",0,0,0
"18",1,0,2
"19",2,0,0
"20",1,0,0
"21",0,0,4
"22",0,0,0
"23",0,0,0
"24",0,0,2
"25",1,0,0
"26",1,0,1
"27",1,0,2
"28",0,0,0
"29",73,1,4
"30",100,1,0
"31",229,0,0
"32",169,4,2
"33",231,2,0
"34",144,2,4
"35",284,2,0
"36",505,1,0
"37",571,0,0
"38",813,3,5
"39",586,1,3
"40",599,11,0
"41",851,0,0
"42",435,7,11
"43",467,0,0
"44",505,7,94
"45",448,2,0
"46",273,6,-17
"47",164,3,0
"48",35,1,129
"49",242,6,41
"50",114,6,45
"51",110,0,177
"52",107,6,0
"53",76,3,0
"54",74,0,627
"55",84,6,270
"56",93,3,133
"57",152,7,0
"58",87,3,0
"59",147,8,0
"60",162,9,1369
"61",0,0,0
"62",76,9,598
"63",100,6,223
"64",104,5,414
"65",91,8,384
"66",146,5,283
"67",105,8,222
"68",78,6,195
"69",125,4,180
"70",101,3,159
"71",89,4,261
"72",86,5,193
"73",94,3,304
"74",81,6,138
"75",47,3,135
"76",47,6,96
"77",53,8,82
"78",39,4,197
"79",27,4,144
"80",30,3,126
"81",32,3,125
"82",25,3,79
"83",27,5,87
"84",27,3,82
"85",22,4,141
"86",22,1,72
"87",18,2,108
"88",8,2,105
"89",13,2,72
"90",9,1,99
"91",11,1,64
"92",14,2,224
"93",10,0,134
"94",10,2,82
"95",10,1,47
"96",14,1,90
